ID PinchLargeTime PinchSmallTime PinchLargeHit PinchSmallHit PinchLargeDist PinchSmallDist PinchLargeXDist PinchSmallXDist PinchLargeYDist PinchSmallYDist SwipeLargeTime SwipeSmallTime SwipeLargeHit SwipeSmallHit SwipeLargeDist SwipeSmallDist SwipeLargeXDist SwipeSmallXDist SwipeLargeYDist SwipeSmallYDist ThrowLargeTime ThrowSmallTime ThrowLargeHit ThrowSmallHit ThrowLargeDist ThrowSmallDist ThrowLargeXDist ThrowSmallXDist ThrowLargeYDist ThrowSmallYDist TiltLargeTime TiltSmallTime TiltLargeHit TiltSmallHit TiltLargeDist TiltSmallDist TiltLargeXDist TiltSmallXDist TiltLargeYDist TiltSmallYDist
1 8 9 1 1 0 0 0 0 0 0 7 11 1 1 0 0 0 0 0 0 11 8 1 0 0 1 0 1 0 1 6 5 1 1 0 0 0 0 0 0
1 7 6 1 0 0 14.5 0 14.5 0 0 4 16 1 1 0 0 0 0 0 0 4 13 1 1 0 0 0 0 0 0 6 4 1 0 0 4.09999999999999 0 4.09999999999999 0 0
1 6 7 0 1 8.80000000000001 0 8.80000000000001 0 0 0 6 13 1 1 0 0 0 0 0 0 5 8 1 1 0 0 0 0 0 0 4 12 1 1 0 0 0 0 0 0
1 5 6 1 0 0 1.5 0 1.5 0 0 7 4 1 1 0 0 0 0 0 0 5 4 0 1 17.6 0 17.6 0 0 0 3 4 1 1 0 0 0 0 0 0
1 6 6 1 1 0 0 0 0 0 0 6 11 1 1 0 0 0 0 0 0 6 8 1 1 0 0 0 0 0 0 3 4 1 0 0 1.30000000000001 0 0 0 1.30000000000001
1 6 7 1 0 0 85.6 0 85.6 0 0 6 7 1 1 0 0 0 0 0 0 9 7 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0
1 5 7 0 1 18.9 0 0 0 18.9 0 4 4 1 1 0 0 0 0 0 0 5 13 1 1 0 0 0 0 0 0 3 11 1 0 0 122 0 0 0 122
1 5 6 0 1 19.2 0 19.2 0 0 0 4 6 1 1 0 0 0 0 0 0 5 6 1 1 0 0 0 0 0 0 3 6 0 0 7.5 509.909805749997 7.5 495.1 0 122
1 5 6 1 1 0 0 0 0 0 0 7 5 1 1 0 0 0 0 0 0 4 5 1 0 0 26 0 26 0 0 3 1 1 0 0 808.489214522989 0 789.1 0 176
10 3 5 0 1 29.3 0 0 0 29.3 0 4 4 1 1 0 0 0 0 0 0 10 8 1 1 0 0 0 0 0 0 1 10 0 1 381.911049853235 0 243.4 0 294.3 0
10 3 5 0 1 274.9 0 274.9 0 0 0 3 6 1 1 0 0 0 0 0 0 14 8 1 1 0 0 0 0 0 0 9 12 1 1 0 0 0 0 0 0
10 5 8 1 0 0 80.4905584525291 0 75.2 0 28.7 3 3 1 1 0 0 0 0 0 0 5 8 1 1 0 0 0 0 0 0 3 7 1 1 0 0 0 0 0 0
10 11 11 1 1 0 0 0 0 0 0 3 5 1 1 0 0 0 0 0 0 8 6 1 1 0 0 0 0 0 0 7 7 1 1 0 0 0 0 0 0
10 8 7 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0 8 5 1 1 0 0 0 0 0 0 3 6 1 1 0 0 0 0 0 0
10 14 5 0 1 141.155942134931 0 71 0 122 0 5 6 1 1 0 0 0 0 0 0 11 7 1 1 0 0 0 0 0 0 8 12 1 1 0 0 0 0 0 0
10 5 4 1 0 0 1 0 1 0 1 3 10 1 1 0 0 0 0 0 0 6 9 1 1 0 0 0 0 0 0 4 9 1 1 0 0 0 0 0 0
10 3 5 0 1 88.9000000000001 0 88.9000000000001 0 0 0 9 5 1 1 0 0 0 0 0 0 4 17 1 1 0 0 0 0 0 0 2 8 0 1 160.756026325609 0 160.3 0 12.1 0
10 9 7 1 0 0 1 0 1 0 1 4 7 1 1 0 0 0 0 0 0 4 6 1 1 0 0 0 0 0 0 3 6 1 1 0 0 0 0 0 0
11 6 9 0 0 6 5.19999999999999 6 5.19999999999999 0 0 6 6 1 1 0 0 0 0 0 0 6 7 1 0 0 296.1 0 296.1 0 0 7 1 1 0 0 294.388382922968 0 32.4 0 292.6
11 11 8 0 0 97.9 48.7804264024004 97.9 44.8 0 19.3 6 8 1 1 0 0 0 0 0 0 7 9 1 1 0 0 0 0 0 0 6 6 1 1 0 0 0 0 0 0
11 5 14 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0 5 7 1 1 0 0 0 0 0 0 4 6 1 1 0 0 0 0 0 0
11 7 6 0 1 161.7 0 161.7 0 0 0 4 5 1 1 0 0 0 0 0 0 5 4 1 1 0 0 0 0 0 0 4 6 1 1 0 0 0 0 0 0
11 3 10 0 1 580.26838618005 0 541.4 0 208.8 0 5 5 1 1 0 0 0 0 0 0 5 5 1 0 0 37.9 0 37.9 0 0 3 5 1 1 0 0 0 0 0 0
11 18 25 0 0 44.1 111.1 0 111.1 44.1 0 4 7 1 1 0 0 0 0 0 0 6 7 1 1 0 0 0 0 0 0 4 6 0 1 2.30000000000001 0 0 0 2.30000000000001 0
11 7 6 0 1 284.464356290907 0 36.6 0 282.1 0 3 6 1 1 0 0 0 0 0 0 4 13 1 0 0 33.3 0 33.3 0 0 4 8 1 0 0 24.4920395230777 0 23.5 0 6.90000000000001
11 9 7 1 1 0 0 0 0 0 0 5 6 1 0 0 6.09999999999999 0 6.09999999999999 0 0 6 9 1 1 0 0 0 0 0 0 8 6 1 0 0 3.32415402771897 0 1.20000000000005 0 3.10000000000002
11 10 6 1 1 0 0 0 0 0 0 3 5 1 1 0 0 0 0 0 0 5 12 1 0 0 42.3 0 42.3 0 0 5 5 1 1 0 0 0 0 0 0
12 10 6 0 1 43 0 0 0 43 0 5 6 1 1 0 0 0 0 0 0 6 7 1 1 0 0 0 0 0 0 4 2 1 0 0 310.188088101397 0 84.7 0 298.4
12 6 10 1 0 0 19.7010152022681 0 19.7 0 0.199999999999989 5 7 1 1 0 0 0 0 0 0 8 10 1 1 0 0 0 0 0 0 9 2 1 0 0 98.2687132306106 0 84.3 0 50.5
12 7 8 1 1 0 0 0 0 0 0 5 4 1 1 0 0 0 0 0 0 9 6 1 1 0 0 0 0 0 0 8 2 1 0 0 525.193335829768 0 385.2 0 357
12 5 5 1 1 0 0 0 0 0 0 7 6 1 1 0 0 0 0 0 0 5 5 1 1 0 0 0 0 0 0 9 8 0 1 4.29999999999995 0 4.29999999999995 0 0 0
12 5 8 1 1 0 0 0 0 0 0 6 10 1 1 0 0 0 0 0 0 4 6 1 1 0 0 0 0 0 0 2 6 0 0 718.678126841217 14.8932870784122 618.5 14.5 366 3.4
12 6 7 0 1 582.521767833615 0 318.1 0 488 0 4 7 1 1 0 0 0 0 0 0 7 6 1 1 0 0 0 0 0 0 8 6 1 0 0 4.39999999999998 0 4.39999999999998 0 0
12 4 4 1 1 0 0 0 0 0 0 4 8 1 1 0 0 0 0 0 0 8 6 1 1 0 0 0 0 0 0 6 7 1 0 0 30.3 0 30.3 0 0
12 5 4 1 0 0 73.6565000526091 0 11.2 0 72.8 5 6 1 1 0 0 0 0 0 0 7 13 1 1 0 0 0 0 0 0 2 9 0 1 957.305724416187 0 949.5 0 122 0
12 5 5 1 1 0 0 0 0 0 0 5 4 1 1 0 0 0 0 0 0 5 6 1 1 0 0 0 0 0 0 4 1 1 0 0 359.9 0 0 0 359.9
13 5 7 1 0 0 11.6 0 11.6 0 0 7 5 1 1 0 0 0 0 0 0 11 7 1 1 0 0 0 0 0 0 7 6 1 1 0 0 0 0 0 0
13 3 7 0 1 163.1 0 163.1 0 0 0 4 4 1 1 0 0 0 0 0 0 4 5 1 1 0 0 0 0 0 0 5 5 1 1 0 0 0 0 0 0
13 3 3 0 0 121.19278031302 178.307178767429 98 29.2 71.3 175.9 4 4 1 1 0 0 0 0 0 0 7 5 1 1 0 0 0 0 0 0 5 4 1 1 0 0 0 0 0 0
